field_id,year,crop_code,crop_name,valid_pixel_count,dominant_pixel_count,dominant_pct,extraction_method,csb_annual_cdl_code,matches_csb_annual_cdl,raster_source_url,raster_sha256
451623001001160,2020,37,Other Hay/Non Alfalfa,22,17,77.272727,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001187,2020,37,Other Hay/Non Alfalfa,13,10,76.923077,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001196,2020,37,Other Hay/Non Alfalfa,84,63,75.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001204,2020,37,Other Hay/Non Alfalfa,15,11,73.333333,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001218,2020,37,Other Hay/Non Alfalfa,27,23,85.185185,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001219,2020,37,Other Hay/Non Alfalfa,20,18,90.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001224,2020,37,Other Hay/Non Alfalfa,20,15,75.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001231,2020,37,Other Hay/Non Alfalfa,17,9,52.941176,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001238,2020,37,Other Hay/Non Alfalfa,11,9,81.818182,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001243,2020,37,Other Hay/Non Alfalfa,27,14,51.851852,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,False,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001248,2020,176,Grassland/Pasture,18,10,55.555556,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001250,2020,37,Other Hay/Non Alfalfa,59,52,88.135593,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001251,2020,37,Other Hay/Non Alfalfa,20,13,65.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001257,2020,37,Other Hay/Non Alfalfa,85,81,95.294118,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001258,2020,28,Oats,41,21,51.219512,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,28,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001259,2020,176,Grassland/Pasture,19,12,63.157895,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001261,2020,37,Other Hay/Non Alfalfa,20,15,75.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
