field_id,CSBID,STATEFIPS,CSBACRES,county,source_attribute,CDL2020,CDL2021,CDL2022,CDL2023,crop_code_2020,crop_2020,dominant_pct_2020,valid_pixels_2020,matches_csb_2020,crop_code_2021,crop_2021,dominant_pct_2021,valid_pixels_2021,matches_csb_2021,crop_code_2022,crop_2022,dominant_pct_2022,valid_pixels_2022,matches_csb_2022,crop_code_2023,crop_2023,dominant_pct_2023,valid_pixels_2023,matches_csb_2023
451623001001160,451623001001160,45,4.233174233397975,001,,37,37,37,176,37,Other Hay/Non Alfalfa,77.272727,22,True,37,Other Hay/Non Alfalfa,54.545455,22,True,37,Other Hay/Non Alfalfa,50.0,22,True,176,Grassland/Pasture,54.545455,22,True
451623001001187,451623001001187,45,2.9410683003849662,001,,37,176,176,37,37,Other Hay/Non Alfalfa,76.923077,13,True,176,Grassland/Pasture,53.846154,13,True,176,Grassland/Pasture,61.538462,13,True,176,Grassland/Pasture,38.461538,13,False
451623001001196,451623001001196,45,17.514312061244784,001,,37,37,37,37,37,Other Hay/Non Alfalfa,75.0,84,True,37,Other Hay/Non Alfalfa,67.857143,84,True,37,Other Hay/Non Alfalfa,58.333333,84,True,37,Other Hay/Non Alfalfa,57.142857,84,True
451623001001204,451623001001204,45,3.307537355816114,001,,37,176,176,176,37,Other Hay/Non Alfalfa,73.333333,15,True,176,Grassland/Pasture,53.333333,15,True,176,Grassland/Pasture,60.0,15,True,176,Grassland/Pasture,73.333333,15,True
451623001001218,451623001001218,45,6.187809269344218,001,,37,37,37,37,37,Other Hay/Non Alfalfa,85.185185,27,True,37,Other Hay/Non Alfalfa,66.666667,27,True,37,Other Hay/Non Alfalfa,51.851852,27,True,176,Grassland/Pasture,51.851852,27,False
451623001001219,451623001001219,45,4.545813303363282,001,,37,176,176,176,37,Other Hay/Non Alfalfa,90.0,20,True,176,Grassland/Pasture,95.0,20,True,176,Grassland/Pasture,100.0,20,True,176,Grassland/Pasture,95.0,20,True
451623001001224,451623001001224,45,4.447507684144567,001,,37,176,176,176,37,Other Hay/Non Alfalfa,75.0,20,True,176,Grassland/Pasture,60.0,20,True,176,Grassland/Pasture,65.0,20,True,176,Grassland/Pasture,75.0,20,True
451623001001231,451623001001231,45,4.003016126409183,001,,37,176,176,176,37,Other Hay/Non Alfalfa,52.941176,17,True,176,Grassland/Pasture,82.352941,17,True,176,Grassland/Pasture,70.588235,17,True,176,Grassland/Pasture,64.705882,17,True
451623001001238,451623001001238,45,2.6360029115600883,001,,37,37,176,37,37,Other Hay/Non Alfalfa,81.818182,11,True,37,Other Hay/Non Alfalfa,72.727273,11,True,176,Grassland/Pasture,54.545455,11,True,37,Other Hay/Non Alfalfa,63.636364,11,True
451623001001243,451623001001243,45,5.730075281942755,001,,176,176,176,176,37,Other Hay/Non Alfalfa,51.851852,27,False,176,Grassland/Pasture,77.777778,27,True,176,Grassland/Pasture,85.185185,27,True,176,Grassland/Pasture,85.185185,27,True
