column,dtype,non_null,unique
field_id,str,25,25
CSBID,str,25,25
STATEFIPS,str,25,1
CSBACRES,float64,25,25
county,int64,25,1
source_attribute,float64,0,1
CDL2020,int64,25,3
CDL2021,int64,25,2
CDL2022,int64,25,2
CDL2023,int64,25,3
crop_code_2020,int64,25,3
crop_2020,str,25,3
dominant_pct_2020,float64,25,21
valid_pixels_2020,int64,25,17
matches_csb_2020,bool,25,2
crop_code_2021,int64,25,2
crop_2021,str,25,2
dominant_pct_2021,float64,25,24
valid_pixels_2021,int64,25,17
matches_csb_2021,bool,25,1
crop_code_2022,int64,25,2
crop_2022,str,25,2
dominant_pct_2022,float64,25,23
valid_pixels_2022,int64,25,17
matches_csb_2022,bool,25,2
crop_code_2023,int64,25,3
crop_2023,str,25,3
dominant_pct_2023,float64,25,24
valid_pixels_2023,int64,25,17
matches_csb_2023,bool,25,2
