,count,unique,top,freq,mean,std,min,25%,50%,75%,max
field_id,25,25,451623001001160,1,,,,,,,
CSBID,25,25,451623001001160,1,,,,,,,
STATEFIPS,25,1,45,25,,,,,,,
CSBACRES,25.0,,,,6.812772298527908,4.8778708121015475,2.6360029115600883,4.003016126409183,4.545813303363282,6.187809269344218,19.14119405324898
county,25.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
source_attribute,0.0,,,,,,,,,,
CDL2020,25.0,,,,64.44,56.9583766154432,28.0,37.0,37.0,37.0,176.0
CDL2021,25.0,,,,120.4,69.5,37.0,37.0,176.0,176.0,176.0
CDL2022,25.0,,,,137.08,63.69780215988617,37.0,37.0,176.0,176.0,176.0
CDL2023,25.0,,,,119.88,70.19515652806822,24.0,37.0,176.0,176.0,176.0
crop_code_2020,25.0,,,,58.52,52.38807116128633,28.0,37.0,37.0,37.0,176.0
crop_2020,25,3,Other Hay/Non Alfalfa,19,,,,,,,
dominant_pct_2020,25.0,,,,71.57395456,14.765993977257923,49.315068,55.555556,75.0,81.818182,95.294118
valid_pixels_2020,25.0,,,,30.96,22.793420103178903,11.0,18.0,20.0,27.0,85.0
matches_csb_2020,25,2,True,23,,,,,,,
crop_code_2021,25.0,,,,120.4,69.5,37.0,37.0,176.0,176.0,176.0
crop_2021,25,2,Grassland/Pasture,15,,,,,,,
dominant_pct_2021,25.0,,,,67.44056352,14.287272448707958,44.0,55.0,66.666667,72.727273,100.0
valid_pixels_2021,25.0,,,,30.96,22.793420103178903,11.0,18.0,20.0,27.0,85.0
matches_csb_2021,25,1,True,25,,,,,,,
crop_code_2022,25.0,,,,131.52,66.17723677116375,37.0,37.0,176.0,176.0,176.0
crop_2022,25,2,Grassland/Pasture,17,,,,,,,
dominant_pct_2022,25.0,,,,67.21094592,14.582724285919378,46.575342,55.555556,63.636364,75.384615,100.0
valid_pixels_2022,25.0,,,,30.96,22.793420103178903,11.0,18.0,20.0,27.0,85.0
matches_csb_2022,25,2,True,24,,,,,,,
crop_code_2023,25.0,,,,136.56,64.59558808463625,24.0,37.0,176.0,176.0,176.0
crop_2023,25,3,Grassland/Pasture,18,,,,,,,
dominant_pct_2023,25.0,,,,66.16026112,17.0085395445647,35.616438,53.846154,64.705882,77.777778,100.0
valid_pixels_2023,25.0,,,,30.96,22.793420103178903,11.0,18.0,20.0,27.0,85.0
matches_csb_2023,25,2,True,22,,,,,,,
