variable_1,variable_2,spearman_rho,absolute_rho
crop_transition_count,unique_dominant_crop_count,0.9387376808258772,0.9387376808258772
mean_dominant_pct,min_dominant_pct,0.914805839602442,0.914805839602442
min_dominant_pct,unique_dominant_crop_count,-0.7133196775277938,0.7133196775277938
min_dominant_pct,crop_transition_count,-0.6757379507072224,0.6757379507072224
mean_dominant_pct,unique_dominant_crop_count,-0.6249581532321691,0.6249581532321691
mean_dominant_pct,crop_transition_count,-0.580529321306552,0.580529321306552
min_dominant_pct,dominant_pct_range,-0.5472435935533336,0.5472435935533336
min_dominant_pct,raster_csb_match_rate,0.5183324997147518,0.5183324997147518
dominant_pct_range,crop_transition_count,0.4137333322452124,0.4137333322452124
mean_dominant_pct,raster_csb_match_rate,0.4044260619203955,0.4044260619203955
unique_dominant_crop_count,raster_csb_match_rate,-0.3959884141978739,0.3959884141978739
dominant_pct_range,unique_dominant_crop_count,0.38559094108458525,0.38559094108458525
mean_dominant_pct,dominant_pct_range,-0.3620623584663983,0.3620623584663983
CSBACRES,dominant_pct_range,-0.31358217019140766,0.31358217019140766
crop_transition_count,raster_csb_match_rate,-0.30222072774819003,0.30222072774819003
CSBACRES,crop_transition_count,-0.2347541927035254,0.2347541927035254
dominant_pct_range,raster_csb_match_rate,-0.19289482700927008,0.19289482700927008
CSBACRES,unique_dominant_crop_count,-0.1574592933977431,0.1574592933977431
CSBACRES,min_dominant_pct,0.15266039295514836,0.15266039295514836
CSBACRES,mean_dominant_pct,0.14692307692307693,0.14692307692307693
CSBACRES,raster_csb_match_rate,-0.08066421453603517,0.08066421453603517
