mukey,musym,polygon_count,clipped_area_m2,aws025wta,clipped_area_acres
131787,ApB,3,133067.16580032103,3.5,32.8816127036785
131789,Ca,1,37978.6607149463,3.38,9.384731425836538
131790,CbB,1,581.828449995264,3.35,0.14377294081271916
131793,CdB,5,153845.80671738114,2.95,38.01612668415083
131794,CdC,5,285399.1870867879,2.99,70.523674862171
131795,CdD,2,104883.57970767775,3.35,25.917296924309582
131797,CeC2,1,625.0837121391354,3.5,0.15446154884503538
131800,DuB,2,129465.37814374309,2.5,31.99159159251871
131813,PaE,1,146218.30833475955,3.63,36.131330790236234
131817,W,1,3877.4571198751564,,0.9581405189179132
1154985,ApB,6,2113270.709419826,3.5,522.2005638073264
1154986,ApC,8,700070.0021162814,3.47,172.99106459961453
1154988,CaB,1,60572.704720714806,3.35,14.967841278212731
1154991,CcB,14,2330353.9934669454,2.95,575.8430114205211
1154992,CcC,16,764723.0374524795,2.99,188.9671775291722
1154993,CcD,5,928759.1287089266,3.35,229.50137835684737
1154995,CeC2,1,16700.46718738841,3.26,4.126775307217612
1154999,DuB,1,256551.63367480447,2.0,63.39528918538499
1155004,HeB,5,220209.2957996224,3.05,54.414901938307395
1155019,PaF,2,340579.07290720416,2.99,84.15892157136146
1155021,Tc,1,185482.97232595214,2.75,45.83384054561686
1155022,W,10,42475.41336074375,,10.495903201639074
