year,expected_days,valid_days,completeness_pct,is_complete_period,annual_mean_temperature_C,mean_max_temperature_C,mean_min_temperature_C,mean_diurnal_range_C,annual_precipitation_mm,mean_relative_humidity_pct,mean_solar_radiation_kWh_m2_day,hot_day_count,frost_day_count,dry_day_count,heavy_rain_day_count,longest_dry_spell_days
1991,365,365,100.0,True,15.747479452054794,21.431397260273975,10.691972602739726,10.739424657534245,1397.17,79.48416438356165,15.30454794520548,0,54,191,7,16
1992,366,366,100.0,True,14.898360655737706,20.637213114754097,9.626775956284153,11.010437158469946,1622.36,79.76027322404371,15.084836065573771,9,59,201,17,16
1993,365,365,100.0,True,15.496520547945204,21.757013698630136,9.912931506849315,11.844082191780823,1181.55,74.77780821917808,15.918465753424657,44,58,224,11,18
1994,365,365,100.0,True,15.241205479452054,21.046712328767125,9.987534246575343,11.05917808219178,1530.49,79.38019178082193,15.842465753424655,3,49,201,9,10
1995,365,365,100.0,True,15.387561643835614,21.451260273972604,9.919397260273973,11.531863013698628,1466.3000000000002,78.11383561643835,15.824438356164384,23,67,204,10,14
1996,366,366,100.0,True,14.649071038251368,20.741803278688526,9.055737704918034,11.686065573770493,1372.23,78.30920765027322,16.09448087431694,11,77,196,11,14
1997,365,365,100.0,True,15.273972602739725,21.446794520547947,9.705917808219178,11.740876712328767,1438.84,76.71745205479452,16.111753424657532,16,53,209,12,15
1998,365,365,100.0,True,16.827397260273973,23.229616438356164,11.237397260273971,11.992219178082191,1435.75,75.48523287671233,16.387780821917808,27,40,215,12,24
1999,365,365,100.0,True,16.26268493150685,23.237671232876714,10.112410958904109,13.125260273972605,1068.83,71.79687671232877,16.65950684931507,42,55,241,6,14
2000,366,366,100.0,True,15.724016393442623,22.694453551912563,9.5925956284153,13.101857923497267,980.91,70.78338797814207,16.40743169398907,41,63,235,4,39
2001,365,365,100.0,True,16.170931506849318,23.147698630136986,10.184630136986302,12.963068493150683,973.3699999999999,70.90013698630136,16.674657534246574,10,51,229,7,28
2002,365,365,100.0,True,16.55471232876712,23.079178082191785,10.777780821917808,12.301397260273973,1225.18,73.75701369863015,16.053260273972604,45,57,220,11,12
2003,365,365,100.0,True,15.418164383561644,21.270602739726026,10.285945205479452,10.984657534246574,1469.17,79.73849315068492,15.527643835616436,0,63,187,9,12
2004,366,366,100.0,True,16.139207650273224,22.437349726775956,10.583387978142076,11.85396174863388,1271.03,75.83183060109289,16.01355191256831,16,66,226,7,11
2005,365,365,100.0,True,15.705890410958903,21.89241095890411,10.309479452054795,11.582931506849317,1342.1999999999998,76.91024657534246,16.328958904109587,6,64,226,9,35
2006,365,365,100.0,True,16.56413698630137,23.299178082191776,10.510164383561644,12.789013698630136,1090.96,72.76745205479453,16.79008219178082,37,48,233,8,19
2007,365,365,100.0,True,17.047561643835614,24.107561643835613,10.808739726027397,13.298821917808219,888.8399999999999,68.6111506849315,17.006767123287673,47,54,255,7,20
2008,366,366,100.0,True,16.047131147540984,22.712076502732238,10.083633879781422,12.62844262295082,1049.44,72.0164480874317,16.965737704918034,36,63,240,5,13
2009,365,365,100.0,True,15.530493150684935,21.40295890410959,10.310986301369864,11.091972602739725,1573.04,78.95230136986301,15.895808219178083,11,60,211,18,10
2010,365,365,100.0,True,15.7446301369863,22.270794520547945,10.176493150684932,12.094301369863015,1131.75,74.14523287671233,17.279013698630138,44,80,237,8,19
2011,365,365,100.0,True,16.737890410958904,23.354191780821914,10.836958904109588,12.51723287671233,1089.5,73.24668493150685,17.099095890410958,53,47,227,6,17
2012,366,366,100.0,True,16.998551912568303,23.387049180327868,11.388469945355192,11.998579234972679,1095.4099999999999,74.50224043715846,16.642650273224042,24,30,217,6,21
2013,365,365,100.0,True,15.13232876712329,20.827671232876714,10.061205479452056,10.766465753424658,1718.49,80.39383561643835,15.935753424657532,0,64,210,13,14
2014,365,365,100.0,True,15.42709589041096,21.83942465753425,9.865095890410958,11.974328767123287,1162.19,75.92728767123288,16.65835616438356,13,66,222,8,17
2015,365,365,100.0,True,16.87517808219178,22.929726027397262,11.51882191780822,11.410904109589042,1581.6200000000001,76.7887397260274,16.11778082191781,34,53,215,14,13
2016,366,366,100.0,True,17.258688524590166,23.900983606557382,11.553934426229507,12.34704918032787,851.52,72.15691256830601,17.575546448087433,52,50,243,6,35
2017,365,365,100.0,True,17.08586301369863,23.48723287671233,11.451863013698631,12.035369863013699,1233.63,75.28698630136986,16.83219178082192,13,40,229,11,25
2018,365,365,100.0,True,16.49027397260274,22.28098630136986,11.278410958904109,11.002575342465752,1623.14,78.63893150684932,16.347698630136986,4,51,197,17,13
2019,365,365,100.0,True,17.364821917808218,23.59,11.80380821917808,11.78619178082192,1240.27,75.1096712328767,16.606,45,35,225,11,15
2020,366,366,100.0,True,16.73844262295082,22.560874316939888,11.481612021857925,11.079262295081968,1616.44,79.8042349726776,16.262650273224043,16,38,198,13,12
2021,365,365,100.0,True,16.52013698630137,22.794657534246575,11.017835616438356,11.776821917808219,1209.55,76.59353424657535,16.451753424657532,16,44,230,8,15
2022,365,365,100.0,True,16.620109589041096,23.261232876712324,10.832383561643836,12.428849315068495,1199.0300000000002,72.9184109589041,16.73835616438356,34,53,224,12,13
2023,365,365,100.0,True,17.082575342465752,23.507479452054792,11.460383561643836,12.047095890410958,1199.6399999999999,74.02424657534246,16.471260273972604,23,30,231,10,23
2024,366,366,100.0,True,17.248415300546448,23.651174863387972,11.704508196721312,11.946666666666665,1366.0100000000002,75.57448087431693,16.63658469945355,37,44,235,14,28
2025,365,365,100.0,True,16.532520547945204,23.086273972602743,10.861123287671234,12.225150684931508,1104.8400000000001,74.04257534246575,16.72758904109589,28,59,232,7,16
