year,expected_days,valid_days,completeness_pct,is_complete_period,warm_season_mean_temperature_C,mean_max_temperature_C,mean_min_temperature_C,mean_diurnal_range_C,warm_season_precipitation_mm,mean_relative_humidity_pct,mean_solar_radiation_kWh_m2_day,warm_season_hot_day_count,frost_day_count,dry_day_count,heavy_rain_day_count,warm_season_longest_dry_spell_days
1991,214,214,100.0,True,21.4653738317757,27.022850467289718,16.462383177570093,10.560467289719623,821.97,78.90341121495327,18.460654205607476,0,0,98,3,16
1992,214,214,100.0,True,20.306682242990654,26.120140186915883,14.857383177570096,11.262757009345794,832.51,77.3116355140187,18.18285046728972,9,2,110,5,15
1993,214,214,100.0,True,22.052196261682244,28.822523364485985,15.881308411214954,12.941214953271029,491.83,68.94803738317758,19.73794392523365,44,1,134,4,18
1994,214,214,100.0,True,20.760841121495325,26.494813084112153,15.451869158878504,11.042943925233645,964.0500000000001,77.84742990654205,19.206028037383177,3,0,106,6,10
1995,214,214,100.0,True,21.704018691588786,27.817149532710275,16.043504672897196,11.773644859813084,871.2400000000001,75.44714953271027,19.0153738317757,23,0,106,5,10
1996,214,214,100.0,True,21.0135046728972,27.2846261682243,15.211962616822428,12.07266355140187,693.4100000000001,74.80415887850468,19.833457943925236,11,2,108,3,14
1997,214,214,100.0,True,20.661308411214954,27.10467289719626,14.744018691588787,12.360654205607478,791.3100000000002,72.285,19.533598130841124,16,1,124,7,15
1998,214,214,100.0,True,22.65733644859813,29.389439252336448,16.60971962616822,12.779719626168223,746.3299999999999,71.08406542056076,20.346261682242993,27,0,122,5,23
1999,214,214,100.0,True,22.028551401869162,29.129859813084114,15.604719626168224,13.525140186915888,602.0500000000001,67.0623831775701,20.017897196261682,42,0,141,3,14
2000,214,214,100.0,True,22.168598130841122,29.516728971962618,15.535186915887849,13.981542056074767,514.0799999999999,65.33710280373832,19.879205607476635,41,1,131,1,36
2001,214,214,100.0,True,21.506542056074764,28.435373831775703,15.205514018691591,13.229859813084113,552.27,68.39308411214952,20.02214953271028,10,2,120,2,10
2002,214,214,100.0,True,22.951121495327108,29.54060747663551,16.917943925233644,12.62266355140187,619.9300000000001,68.95607476635513,19.184112149532712,45,0,119,3,12
