field_id,CSBACRES,crop_2020,crop_2021,crop_2022,crop_2023,dominant_pct_2023,valid_pixels_2023,area_weighted_aws025wta,dominant_mukey,dominant_musym,dominant_muname,dominant_mapunit_percent,mapunit_count,coverage_percent,soil_water_class,crop_soil_zone,assignment_05_ndvi_mean,assignment_05_ndvi_date
451623001001160,4.233174233397975,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,54.545455,22,2.0437086373285567,1154999,DuB,"Durham loamy sand, 2 to 6 percent slopes",97.0266233109845,2,100.0,Lower,Grassland/Pasture | Lower,,
451623001001187,2.9410683003849662,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,38.461538,13,3.5,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",100.0,1,100.0,Higher,Grassland/Pasture | Higher,,
451623001001196,17.514312061244784,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,57.142857,84,3.4964647033779594,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",88.21567792653082,2,99.99999999999892,Higher,Other Hay/Non Alfalfa | Higher,,
451623001001204,3.307537355816114,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,73.333333,15,3.4979447570645004,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",93.14919021501018,2,100.0,Higher,Grassland/Pasture | Higher,,
451623001001218,6.187809269344218,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,51.851852,27,2.95,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",100.0,1,100.0,Moderate,Grassland/Pasture | Moderate,,
451623001001219,4.545813303363282,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,95.0,20,2.9532123611189816,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.39336239179032,3,99.99999999999412,Moderate,Grassland/Pasture | Moderate,,
451623001001224,4.447507684144567,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,75.0,20,2.95,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.99999999999996,1,99.99999999999996,Moderate,Grassland/Pasture | Moderate,,
451623001001231,4.003016126409183,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,64.705882,17,2.984504756355156,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",86.26189088787733,2,99.99999999998764,Moderate,Grassland/Pasture | Moderate,,
451623001001238,2.6360029115600883,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,Other Hay/Non Alfalfa,63.636364,11,3.007998398816289,1155004,HeB,"Helena sandy loam, 2 to 6 percent slopes",57.99839881627883,2,99.9999999999812,Moderate,Other Hay/Non Alfalfa | Moderate,,
451623001001243,5.730075281942755,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,85.185185,27,3.413451851441385,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",70.69902704972536,4,100.0,Higher,Grassland/Pasture | Higher,,
451623001001248,3.94903448516544,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,77.777778,18,2.959454223675554,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",97.63644408110252,2,99.99999999999078,Moderate,Grassland/Pasture | Moderate,,
451623001001250,12.640829411592978,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,84.745763,59,2.9542755797513345,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",89.31105062163189,3,99.99999999996368,Moderate,Other Hay/Non Alfalfa | Moderate,,
451623001001251,4.437590129467583,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,50.0,20,3.064170033479182,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",78.01915015397485,3,100.0,Moderate,Grassland/Pasture | Moderate,,
