field_id,CSBACRES,crop_2020,crop_2021,crop_2022,crop_2023,rotation_unique_crop_count,rotation_diversity_score,area_weighted_aws025wta,area_weighted_slope_midpoint_pct,eroded_mapunit_fraction_pct,soil_mapunit_count,dominant_musym,dominant_muname,water_storage_score,slope_resilience_score,erosion_history_score,soil_sustainability_score,relative_condition_class
451623001001187,2.9410683003849662,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,3.5,4.0,0.0,1,ApB,"Appling sandy loam, 2 to 6 percent slopes",98.0,90.0,100.0,82.14097655573916,Stronger relative condition
451623001001262,15.70476291622756,Oats,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,3,75.0,3.138778218797042,4.146097652287084,0.0,3,ApB,"Appling sandy loam, 2 to 6 percent slopes",64.0,60.0,100.0,74.75,Stronger relative condition
451623001001267,4.753304821959788,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,1,0.0,3.5,4.0,0.0,1,ApB,"Appling sandy loam, 2 to 6 percent slopes",98.0,90.0,100.0,72.0,Stronger relative condition
451623001001204,3.307537355816114,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,3.4979447570645004,4.27403239139996,0.0,2,ApB,"Appling sandy loam, 2 to 6 percent slopes",92.0,52.0,100.0,71.14097655573916,Stronger relative condition
451623001001238,2.6360029115600883,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,Other Hay/Non Alfalfa,2,40.56390622295664,3.0079983988162895,4.0,0.0,2,HeB,"Helena sandy loam, 2 to 6 percent slopes",48.0,90.0,100.0,69.64097655573916,Stronger relative condition
451623001001299,5.048982917619439,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,3.496676226131815,4.443169849091396,0.0,2,ApB,"Appling sandy loam, 2 to 6 percent slopes",88.0,48.0,100.0,69.14097655573916,Stronger relative condition
451623001001259,3.6844874367323,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,1,0.0,3.44111940601672,4.0,0.0,2,ApB,"Appling sandy loam, 2 to 6 percent slopes",80.0,90.0,100.0,67.5,Stronger relative condition
451623001001258,8.885457754892826,Oats,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Winter Wheat,3,75.0,3.0919357251268855,5.922063863653483,0.0,3,CcC,"Cecil sandy loam, 6 to 10 percent slopes",60.0,20.0,100.0,63.75,Stronger relative condition
451623001001218,6.187809269344218,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,2,40.56390622295664,2.95,4.0,0.0,1,CcB,"Cecil sandy loam, 2 to 6 percent slopes",10.0,90.0,100.0,60.14097655573916,Moderate relative condition
451623001001224,4.447507684144567,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,2.95,4.0,0.0,1,CcB,"Cecil sandy loam, 2 to 6 percent slopes",10.0,90.0,100.0,60.14097655573916,Moderate relative condition
451623001001219,4.545813303363282,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,2.953212361118981,4.016552763485292,0.0,3,CcB,"Cecil sandy loam, 2 to 6 percent slopes",20.0,76.0,100.0,59.14097655573916,Moderate relative condition
451623001001281,4.132697886258406,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,3.055397267125356,4.8107482086565865,0.0,2,CcB,"Cecil sandy loam, 2 to 6 percent slopes",52.0,36.0,100.0,57.14097655573916,Moderate relative condition
451623001001196,17.514312061244784,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,1,0.0,3.4964647033779594,4.47137288293873,0.0,2,ApB,"Appling sandy loam, 2 to 6 percent slopes",84.0,44.0,100.0,57.0,Moderate relative condition
451623001001264,5.923776287733908,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,2.9504367100640922,4.04367100640921,0.0,2,CcB,"Cecil sandy loam, 2 to 6 percent slopes",16.0,68.0,100.0,56.14097655573916,Moderate relative condition
451623001001243,5.730075281942755,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,2,40.56390622295664,3.413451851441386,5.7930912830963175,17.99247296413191,4,ApB,"Appling sandy loam, 2 to 6 percent slopes",76.0,24.0,82.0075270358681,55.64285831470618,Moderate relative condition
451623001001261,4.376599028571515,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,Other Hay/Non Alfalfa,2,40.56390622295664,2.9580786669857426,4.8078666985742995,0.0,2,CcB,"Cecil sandy loam, 2 to 6 percent slopes",32.0,40.0,100.0,53.14097655573916,Moderate relative condition
